#          r            f            d         rho1         rho2         mass
 2.44141e-04  8.35643e-03  3.42269e+01  4.34953e+01  2.17895e+01  3.98466e-09
 2.54950e-04  8.72639e-03  3.42268e+01  4.34915e+01  2.24786e+01  4.68120e-09
 2.66237e-04  9.11273e-03  3.42266e+01  4.34875e+01  2.17580e+01  5.16003e-09
 2.78025e-04  9.51617e-03  3.42264e+01  4.34834e+01  2.15273e+01  5.81388e-09
 2.90334e-04  9.93746e-03  3.42262e+01  4.34790e+01  2.16664e+01  6.66359e-09
 3.03188e-04  1.03774e-02  3.42260e+01  4.34744e+01  2.16341e+01  7.57714e-09
 3.16611e-04  1.08368e-02  3.42258e+01  4.34697e+01  2.18627e+01  8.72000e-09
 3.30629e-04  1.13166e-02  3.42255e+01  4.34647e+01  2.19044e+01  9.94920e-09
 3.45267e-04  1.18176e-02  3.42252e+01  4.34595e+01  2.21289e+01  1.14462e-08
 3.60553e-04  1.23408e-02  3.42249e+01  4.34540e+01  2.18530e+01  1.28724e-08
 3.76516e-04  1.28871e-02  3.42246e+01  4.34484e+01  2.14705e+01  1.44025e-08
 3.93186e-04  1.34576e-02  3.42242e+01  4.34424e+01  2.20509e+01  1.68449e-08
 4.10594e-04  1.40534e-02  3.42238e+01  4.34362e+01  2.21463e+01  1.92659e-08
 4.28773e-04  1.46755e-02  3.42234e+01  4.34297e+01  2.18532e+01  2.16495e-08
 4.47756e-04  1.53252e-02  3.42229e+01  4.34229e+01  2.18609e+01  2.46632e-08
 4.67580e-04  1.60036e-02  3.42223e+01  4.34158e+01  2.15311e+01  2.76628e-08
 4.88281e-04  1.67121e-02  3.42217e+01  4.34084e+01  2.17862e+01  3.18757e-08
 5.09899e-04  1.74519e-02  3.42210e+01  4.34006e+01  2.16945e+01  3.61474e-08
 5.32474e-04  1.82244e-02  3.42203e+01  4.33925e+01  2.17541e+01  4.12778e-08
 5.56049e-04  1.90311e-02  3.42195e+01  4.33840e+01  2.16542e+01  4.67917e-08
 5.80668e-04  1.98735e-02  3.42186e+01  4.33751e+01  2.16616e+01  5.33050e-08
 6.06376e-04  2.07532e-02  3.42177e+01  4.33658e+01  2.17392e+01  6.09217e-08
 6.33222e-04  2.16718e-02  3.42166e+01  4.33560e+01  2.16545e+01  6.91082e-08
 6.61258e-04  2.26311e-02  3.42154e+01  4.33459e+01  2.17123e+01  7.89117e-08
 6.90534e-04  2.36328e-02  3.42142e+01  4.33352e+01  2.16963e+01  8.97998e-08
 7.21107e-04  2.46788e-02  3.42127e+01  4.33240e+01  2.16892e+01  1.02232e-07
